Month,Average_Flow,Max_Flow,Max_Year,Min_Flow,Min_Year
1,8503.168202764977,85576,2022,2114,2021
2,10669.752659574468,93756,2019,1058,2014
3,17309.487623762376,148480,2015,4508,2025
4,23100.44162436548,122479,2021,4375,2025
5,33389.49462365591,68015,2017,11900,2018
6,50671.36033519553,141119,2018,17912,2022
7,79816.2945945946,193750,2021,43377,2018
8,75544.05099150141,303884,2020,27949,2014
9,45276.70303030303,562848,2014,17518,2020
10,15948.00293255132,82740,2021,8174,2020
11,9720.645454545454,76957,2019,1164,2022
12,7675.736070381232,59950,2019,3731,2024
